GEOSTAT_gr;GRD_ID;kolej;10km;15km;20km
5;1kmN3040E4937;;;;
663;1kmN3041E4937;;;0;
912;1kmN3042E4937;;;;
57;1kmN3043E4937;;;;
251;1kmN3044E4937;;;5;
339;1kmN3045E4937;;;5;
58;1kmN3047E4937;;;;
2858;1kmN3048E4937;;;;
12309;1kmN3049E4937;;;;
1747;1kmN3050E4937;;5;;
620;1kmN3051E4937;;5;;
114;1kmN3052E4937;;;;
2891;1kmN3054E4937;;;;1
12572;1kmN3055E4937;;;;1
8466;1kmN3056E4937;;;;
4675;1kmN3057E4937;1;;;
7316;1kmN3058E4937;;;;
1565;1kmN3059E4937;;;;
70;1kmN3060E4937;;;;
163;1kmN3063E4937;;;;
229;1kmN3064E4937;;;;
166;1kmN3065E4937;;5;;
7;1kmN3066E4937;;5;;
42;1kmN3067E4937;;;;
8;1kmN3068E4937;;;;
85;1kmN3070E4937;;;;
10;1kmN3071E4937;;;5;
264;1kmN3072E4937;;;5;
183;1kmN3073E4937;;;;
98;1kmN3077E4937;;;;5
325;1kmN3078E4937;;;;
289;1kmN3082E4937;;;;
1281;1kmN3083E4937;;;;
35;1kmN3084E4937;;;;
118;1kmN3032E4938;;;;
108;1kmN3037E4938;;;;
464;1kmN3038E4938;;;;
153;1kmN3039E4938;;;;5
112;1kmN3040E4938;;;;
872;1kmN3041E4938;;;0;
1593;1kmN3042E4938;;;;
189;1kmN3043E4938;;;;
3512;1kmN3048E4938;;;;
2336;1kmN3049E4938;;;;
58;1kmN3050E4938;;5;;
200;1kmN3051E4938;;;;
574;1kmN3052E4938;;;;1
2107;1kmN3055E4938;;;;
3416;1kmN3056E4938;;;;
8855;1kmN3057E4938;1;;;
7029;1kmN3058E4938;;;;
3398;1kmN3059E4938;;;;
1190;1kmN3060E4938;;;;
392;1kmN3061E4938;;;;
3;1kmN3062E4938;;;;
55;1kmN3064E4938;;;;
661;1kmN3065E4938;;;;
228;1kmN3068E4938;;;;
467;1kmN3069E4938;;;;
11;1kmN3076E4938;;;;1
18;1kmN3077E4938;;;;5
8;1kmN3080E4938;;;;
176;1kmN3081E4938;;;;
385;1kmN3082E4938;;;;
617;1kmN3083E4938;;;;
118;1kmN3032E4939;;;;
33;1kmN3033E4939;;;;
85;1kmN3035E4939;;;;
6;1kmN3036E4939;;;;0
243;1kmN3037E4939;;;;
452;1kmN3038E4939;;;;
837;1kmN3039E4939;;;;5
4141;1kmN3040E4939;;;;
1792;1kmN3041E4939;;;0;
268;1kmN3042E4939;;;;
450;1kmN3043E4939;;;;
380;1kmN3048E4939;;;;
181;1kmN3049E4939;;5;;
16;1kmN3050E4939;;5;;
673;1kmN3052E4939;;;;1
239;1kmN3054E4939;;;;
1341;1kmN3055E4939;;;;
