0,"LINESTRING (18.7761657984 50.3131874578, 17.0379891776 51.0981342897)",30,186
0,"LINESTRING (18.7761657984 50.3131874578, 18.8823899859 50.1084672676)",30,233
0,"LINESTRING (18.7761657984 50.3131874578, 19.2486732105 50.3160035789)",30,375
8,"LINESTRING (18.8375869123 50.2409335945, 18.8786770128 50.3932418363)",31,71
0,"LINESTRING (18.8375869123 50.2409335945, 17.0379891776 51.0981342897)",31,186
0,"LINESTRING (18.8375869123 50.2409335945, 18.8823899859 50.1084672676)",31,233
0,"LINESTRING (18.8375869123 50.2409335945, 19.2486732105 50.3160035789)",31,375
1,"LINESTRING (18.9907933439 50.2300508895, 18.8786770128 50.3932418363)",32,71
0,"LINESTRING (18.9907933439 50.2300508895, 17.0379891776 51.0981342897)",32,186
0,"LINESTRING (18.9907933439 50.2300508895, 18.8823899859 50.1084672676)",32,233
0,"LINESTRING (18.9907933439 50.2300508895, 19.2486732105 50.3160035789)",32,375
1,"LINESTRING (18.7890044569 50.2922168847, 18.8786770128 50.3932418363)",33,71
0,"LINESTRING (18.7890044569 50.2922168847, 17.0379891776 51.0981342897)",33,186
0,"LINESTRING (18.7890044569 50.2922168847, 18.8823899859 50.1084672676)",33,233
0,"LINESTRING (18.7890044569 50.2922168847, 19.2486732105 50.3160035789)",33,375
6,"LINESTRING (18.9881827546 50.2711205149, 18.8786770128 50.3932418363)",34,71
0,"LINESTRING (18.9881827546 50.2711205149, 17.0379891776 51.0981342897)",34,186
0,"LINESTRING (18.9881827546 50.2711205149, 18.8823899859 50.1084672676)",34,233
0,"LINESTRING (18.9881827546 50.2711205149, 19.2486732105 50.3160035789)",34,375
0,"LINESTRING (18.8945415977 50.2670480991, 18.8786770128 50.3932418363)",35,71
0,"LINESTRING (18.8945415977 50.2670480991, 17.0379891776 51.0981342897)",35,186
0,"LINESTRING (18.8945415977 50.2670480991, 18.8823899859 50.1084672676)",35,233
0,"LINESTRING (18.8945415977 50.2670480991, 19.2486732105 50.3160035789)",35,375
4,"LINESTRING (18.8472306239 50.3672499113, 18.8786770128 50.3932418363)",36,71
0,"LINESTRING (18.8472306239 50.3672499113, 17.0379891776 51.0981342897)",36,186
1,"LINESTRING (18.8472306239 50.3672499113, 18.8823899859 50.1084672676)",36,233
0,"LINESTRING (18.8472306239 50.3672499113, 19.2486732105 50.3160035789)",36,375
0,"LINESTRING (19.0842480459 50.2437943859, 18.8786770128 50.3932418363)",37,71
3,"LINESTRING (19.0842480459 50.2437943859, 17.0379891776 51.0981342897)",37,186
0,"LINESTRING (19.0842480459 50.2437943859, 18.8823899859 50.1084672676)",37,233
0,"LINESTRING (19.0842480459 50.2437943859, 19.2486732105 50.3160035789)",37,375
6,"LINESTRING (18.9968305944 50.2403313947, 18.8786770128 50.3932418363)",38,71
0,"LINESTRING (18.9968305944 50.2403313947, 17.0379891776 51.0981342897)",38,186
2,"LINESTRING (18.9968305944 50.2403313947, 18.8823899859 50.1084672676)",38,233
0,"LINESTRING (18.9968305944 50.2403313947, 19.2486732105 50.3160035789)",38,375
1,"LINESTRING (19.136670362 50.2427685162, 18.8786770128 50.3932418363)",39,71
0,"LINESTRING (19.136670362 50.2427685162, 17.0379891776 51.0981342897)",39,186
0,"LINESTRING (19.136670362 50.2427685162, 18.8823899859 50.1084672676)",39,233
0,"LINESTRING (19.136670362 50.2427685162, 19.2486732105 50.3160035789)",39,375
0,"LINESTRING (19.0046075655 50.2997826285, 18.8786770128 50.3932418363)",40,71
0,"LINESTRING (19.0046075655 50.2997826285, 17.0379891776 51.0981342897)",40,186
0,"LINESTRING (19.0046075655 50.2997826285, 18.8823899859 50.1084672676)",40,233
7,"LINESTRING (19.0046075655 50.2997826285, 19.2486732105 50.3160035789)",40,375
6,"LINESTRING (18.9401049339 50.2783320035, 18.8786770128 50.3932418363)",41,71
0,"LINESTRING (18.9401049339 50.2783320035, 17.0379891776 51.0981342897)",41,186
0,"LINESTRING (18.9401049339 50.2783320035, 18.8823899859 50.1084672676)",41,233
0,"LINESTRING (18.9401049339 50.2783320035, 19.2486732105 50.3160035789)",41,375
1,"LINESTRING (18.9459419528 50.3776335336, 18.8786770128 50.3932418363)",42,71
0,"LINESTRING (18.9459419528 50.3776335336, 17.0379891776 51.0981342897)",42,186
0,"LINESTRING (18.9459419528 50.3776335336, 18.8823899859 50.1084672676)",42,233
0,"LINESTRING (18.9459419528 50.3776335336, 19.2486732105 50.3160035789)",42,375
0,"LINESTRING (18.9700600492 50.1323231148, 18.8786770128 50.3932418363)",43,71
0,"LINESTRING (18.9700600492 50.1323231148, 17.0379891776 51.0981342897)",43,186
0,"LINESTRING (18.9700600492 50.1323231148, 18.8823899859 50.1084672676)",43,233
0,"LINESTRING (18.9700600492 50.1323231148, 19.2486732105 50.3160035789)",43,375
16,"LINESTRING (18.9196614361 50.2894120547, 18.8786770128 50.3932418363)",44,71
0,"LINESTRING (18.9196614361 50.2894120547, 17.0379891776 51.0981342897)",44,186
0,"LINESTRING (18.9196614361 50.2894120547, 18.8823899859 50.1084672676)",44,233
0,"LINESTRING (18.9196614361 50.2894120547, 19.2486732105 50.3160035789)",44,375
0,"LINESTRING (18.9995989813 50.1047955065, 18.8786770128 50.3932418363)",45,71
