400,"LINESTRING (19.09081042 50.35007143, 19.09301519 50.35427812)"
250,"LINESTRING (19.06460524 50.34858239, 19.06805992 50.34796623)"
126,"LINESTRING (19.08919573 50.34845916, 19.08919573 50.34845916)"
2659,"LINESTRING (19.08919573 50.34845916, 19.09432411 50.34800731)"
378,"LINESTRING (19.08439 50.350475, 19.08045173 50.35180686)"
12,"LINESTRING (19.09432411 50.34800731, 19.09432411 50.34800731)"
1410,"LINESTRING (19.08640623 50.33851736, 19.08934593 50.34650109)"
1410,"LINESTRING (19.08640623 50.33851736, 19.08325195 50.33034053)"
1480,"LINESTRING (19.06805992 50.34796623, 19.06376839 50.35627694)"
282,"LINESTRING (19.08549428 50.35555135, 19.08397079 50.35968569)"
108,"LINESTRING (19.08549428 50.35555135, 19.08479 50.35804)"
108,"LINESTRING (19.08397079 50.35968569, 19.08479 50.35804)"
400,"LINESTRING (19.09301519 50.35427812, 19.10522461 50.36239608)"
70,"LINESTRING (19.15780663 50.32205268, 19.14880514 50.32088815)"
7548,"LINESTRING (19.15780663 50.32205268, 19.16729093 50.32361447)"
793,"LINESTRING (19.15780663 50.32205268, 19.16685104 50.3208265)"
875,"LINESTRING (19.15780663 50.32205268, 19.17760134 50.31913446)"
1253,"LINESTRING (19.1587615 50.32263493, 19.16127205 50.32368296)"
36,"LINESTRING (19.1587615 50.32263493, 19.1586113 50.32831322)"
857,"LINESTRING (19.1587615 50.32263493, 19.16729093 50.32361447)"
210,"LINESTRING (19.1587615 50.32263493, 19.16685104 50.3208265)"
222,"LINESTRING (19.1587615 50.32263493, 19.17760134 50.31913446)"
1289,"LINESTRING (19.15024281 50.32316237, 19.15189505 50.32734063)"
258,"LINESTRING (19.16030645 50.33918843, 19.15985584 50.33598365)"
1253,"LINESTRING (19.16127205 50.32368296, 19.1586113 50.32831322)"
1289,"LINESTRING (19.1586113 50.32831322, 19.15189505 50.32734063)"
258,"LINESTRING (19.15474892 50.33206641, 19.15985584 50.33598365)"
237,"LINESTRING (19.16328907 50.34830854, 19.15998459 50.35052668)"
875,"LINESTRING (19.16328907 50.34830854, 19.168568 50.347139)"
638,"LINESTRING (19.16328907 50.34830854, 19.15715218 50.34273535)"
237,"LINESTRING (19.14526463 50.35234767, 19.15998459 50.35052668)"
237,"LINESTRING (19.14526463 50.35234767, 19.13824797 50.35201908)"
638,"LINESTRING (19.14616585 50.34521393, 19.13575888 50.34747329)"
638,"LINESTRING (19.14616585 50.34521393, 19.15715218 50.34273535)"
875,"LINESTRING (19.17322397 50.3460903, 19.168568 50.347139)"
301,"LINESTRING (19.17322397 50.3460903, 19.17547703 50.34954086)"
702,"LINESTRING (19.17322397 50.3460903, 19.18157101 50.34135907)"
5209,"LINESTRING (19.13575888 50.34747329, 19.13380623 50.34288599)"
4550,"LINESTRING (19.13575888 50.34747329, 19.13824797 50.35201908)"
802,"LINESTRING (19.13380623 50.34288599, 19.13088799 50.34693927)"
2,"LINESTRING (19.12423611 50.35244351, 19.12423611 50.35244351)"
802,"LINESTRING (19.12423611 50.35244351, 19.13088799 50.34693927)"
631,"LINESTRING (19.12423611 50.35244351, 19.12118912 50.35523647)"
170,"LINESTRING (19.12423611 50.35244351, 19.11140442 50.35104697)"
664,"LINESTRING (19.13239002 50.35509956, 19.13824797 50.35201908)"
664,"LINESTRING (19.13239002 50.35509956, 19.12118912 50.35523647)"
3649,"LINESTRING (19.14131641 50.35833043, 19.13824797 50.35201908)"
3649,"LINESTRING (19.14131641 50.35833043, 19.14517879 50.36484626)"
16,"LINESTRING (19.13824797 50.35201908, 19.13824797 50.35201908)"
3649,"LINESTRING (19.14517879 50.36484626, 19.15007114 50.37409829)"
961,"LINESTRING (19.12118912 50.35523647, 19.10745621 50.36648876)"
121,"LINESTRING (19.12118912 50.35523647, 19.14393425 50.37519309)"
301,"LINESTRING (19.18221474 50.35129342, 19.18393135 50.35403168)"
301,"LINESTRING (19.18221474 50.35129342, 19.17702198 50.35238875)"
259,"LINESTRING (19.18393135 50.35403168, 19.18157101 50.36380598)"
2464,"LINESTRING (19.11110401 50.32379256, 19.10222054 50.32208008)"
680,"LINESTRING (19.11213398 50.32203898, 19.11451578 50.32001132)"
680,"LINESTRING (19.11213398 50.32203898, 19.10222054 50.32208008)"
66,"LINESTRING (19.11451578 50.32001132, 19.11451578 50.32001132)"
3026,"LINESTRING (19.11451578 50.32001132, 19.1180563 50.32056619)"
3715,"LINESTRING (19.11451578 50.32001132, 19.11624312 50.3157228)"
78,"LINESTRING (19.11451578 50.32001132, 19.10222054 50.32208008)"
5,"LINESTRING (19.11451578 50.32001132, 19.07061338 50.27387923)"
10,"LINESTRING (19.11451578 50.32001132, 19.10282135 50.28696744)"
3068,"LINESTRING (19.1182065 50.32349802, 19.1180563 50.32056619)"
1358,"LINESTRING (19.1182065 50.32349802, 19.11438704 50.32962824)"
1196,"LINESTRING (19.1182065 50.32349802, 19.10222054 50.32208008)"
1383,"LINESTRING (19.12367821 50.3330526, 19.11543846 50.33255951)"
4721,"LINESTRING (19.12011623 50.32945016, 19.11373258 50.32829267)"
1406,"LINESTRING (19.11543846 50.33255951, 19.11438704 50.32962824)"
114,"LINESTRING (19.11373258 50.32829267, 19.11373258 50.32829267)"
34,"LINESTRING (19.11373258 50.32829267, 19.11438704 50.32962824)"
301,"LINESTRING (19.17702198 50.35238875, 19.17547703 50.34954086)"
198,"LINESTRING (19.14880514 50.32088815, 19.14972782 50.31990171)"
199,"LINESTRING (19.14880514 50.32088815, 19.14243221 50.31995651)"
144,"LINESTRING (19.14880514 50.32088815, 19.14507151 50.3197099)"
404,"LINESTRING (19.15895462 50.31583242, 19.14972782 50.31990171)"
404,"LINESTRING (19.15895462 50.31583242, 19.16341782 50.3172848)"
206,"LINESTRING (19.14972782 50.31990171, 19.14507151 50.3197099)"
22,"LINESTRING (19.0850544 50.08539947, 19.09179211 50.08939209)"
224,"LINESTRING (19.0850544 50.08539947, 19.08290 50.08066)"
202,"LINESTRING (19.0850544 50.08539947, 19.09212 50.08981)"
102,"LINESTRING (19.18985367 50.07664209, 19.17826653 50.07520991)"
102,"LINESTRING (19.18985367 50.07664209, 19.19835091 50.08432554)"
102,"LINESTRING (19.16195869 50.08198483, 19.16865349 50.07856995)"
102,"LINESTRING (19.16865349 50.07856995, 19.17826653 50.07520991)"
38,"LINESTRING (19.09179211 50.08939209, 19.09179211 50.08939209)"
