GRD_ID,GEOSTAT_gr,GEOSTAT__1,GEOSTAT__2,GEOSTAT__3,GEOSTAT__4,GEOSTAT__5,prznagl,kolej,10km,15km,20km
1kmN3084E4931,22,PL,A,2011,PL,0,,,,,
1kmN3085E4931,9,PL,A,2011,PL,0,,,,,
1kmN3031E4932,256,PL,A,2011,PL,0,,,,,
1kmN3032E4932,84,PL,A,2011,PL,0,,,,,
1kmN3033E4932,458,PL,A,2011,PL,0,,,,,
1kmN3034E4932,1628,PL,A,2011,PL,0,,,,,
1kmN3035E4932,156,PL,A,2011,PL,0,,,,,
1kmN3037E4932,26,PL,A,2011,PL,0,,,,,
1kmN3042E4932,28,PL,A,2011,PL,0,,,,0,5
1kmN3044E4932,550,PL,A,2011,PL,0,,,,,
1kmN3045E4932,225,PL,A,2011,PL,0,,,,,
1kmN3046E4932,85,PL,A,2011,PL,0,,,,,
1kmN3047E4932,182,PL,A,2011,PL,0,,,0,,
1kmN3048E4932,2,PL,A,2011,PL,0,,,,5,
1kmN3049E4932,44,PL,A,2011,PL,0,,,,5,
1kmN3050E4932,26,PL,A,2011,PL,0,,,,5,
1kmN3054E4932,559,PL,A,2011,PL,0,,,,,
1kmN3055E4932,653,PL,A,2011,PL,0,,,,,
1kmN3057E4932,150,PL,A,2011,PL,0,,,,,
1kmN3058E4932,761,PL,A,2011,PL,0,,,,,
1kmN3059E4932,15,PL,A,2011,PL,0,,,,,
1kmN3060E4932,459,PL,A,2011,PL,0,,,,,
1kmN3061E4932,1046,PL,A,2011,PL,0,,1,,,
1kmN3062E4932,1222,PL,A,2011,PL,0,,1,,,
1kmN3063E4932,12,PL,A,2011,PL,0,,1,,,
1kmN3065E4932,9,PL,A,2011,PL,0,,1,0,,
1kmN3066E4932,1933,PL,A,2011,PL,0,,1,,,
1kmN3067E4932,2503,PL,A,2011,PL,0,,,,5,
1kmN3068E4932,8100,PL,A,2011,PL,0,,,,5,
1kmN3070E4932,92,PL,A,2011,PL,0,,,,0,
1kmN3073E4932,11,PL,A,2011,PL,0,,,,,
1kmN3074E4932,27,PL,A,2011,PL,0,,,,,5
1kmN3076E4932,12,PL,A,2011,PL,0,,,,,0
1kmN3077E4932,44,PL,A,2011,PL,0,,,,,
1kmN3078E4932,77,PL,A,2011,PL,0,,,,,
1kmN3079E4932,5,PL,A,2011,PL,0,,,,,
1kmN3080E4932,1,PL,A,2011,PL,0,,,,,
1kmN3081E4932,62,PL,A,2011,PL,0,,,,,
1kmN3082E4932,114,PL,A,2011,PL,0,,,,,
1kmN3083E4932,43,PL,A,2011,PL,0,,,,,
1kmN3031E4933,180,PL,A,2011,PL,0,,,,,
1kmN3032E4933,348,PL,A,2011,PL,0,,,,,
1kmN3033E4933,1805,PL,A,2011,PL,0,,,,,
1kmN3034E4933,2496,PL,A,2011,PL,0,,,,,
1kmN3035E4933,176,PL,A,2011,PL,0,,,,,
1kmN3037E4933,303,PL,A,2011,PL,0,,,,,
1kmN3038E4933,520,PL,A,2011,PL,0,,,,,
1kmN3039E4933,176,PL,A,2011,PL,0,,,,,
1kmN3040E4933,674,PL,A,2011,PL,0,,,,,
1kmN3041E4933,391,PL,A,2011,PL,0,,,,0,5
1kmN3042E4933,6,PL,A,2011,PL,0,,,,,5
1kmN3044E4933,625,PL,A,2011,PL,0,,,,,
1kmN3046E4933,49,PL,A,2011,PL,0,,,0,,
1kmN3047E4933,72,PL,A,2011,PL,0,,,0,5,
1kmN3048E4933,189,PL,A,2011,PL,0,,,,5,
1kmN3049E4933,603,PL,A,2011,PL,0,,,,,
1kmN3050E4933,930,PL,A,2011,PL,0,,,,,
1kmN3051E4933,596,PL,A,2011,PL,0,,,,,
1kmN3052E4933,346,PL,A,2011,PL,0,,,,,
1kmN3054E4933,62,PL,A,2011,PL,0,,,,,
1kmN3055E4933,803,PL,A,2011,PL,0,,,,,
1kmN3056E4933,4,PL,A,2011,PL,0,,,,,
1kmN3057E4933,1247,PL,A,2011,PL,0,,,,,
1kmN3058E4933,3936,PL,A,2011,PL,0,,,,,
1kmN3059E4933,59,PL,A,2011,PL,0,,,,,
1kmN3060E4933,166,PL,A,2011,PL,0,,1,,,
1kmN3061E4933,3844,PL,A,2011,PL,0,,1,,,
1kmN3062E4933,1258,PL,A,2011,PL,0,,1,,,
1kmN3063E4933,39,PL,A,2011,PL,0,,1,,,
1kmN3064E4933,298,PL,A,2011,PL,0,,1,,,
1kmN3065E4933,11,PL,A,2011,PL,0,,1,0,,
1kmN3066E4933,813,PL,A,2011,PL,0,,,0,,
1kmN3067E4933,625,PL,A,2011,PL,0,,,,,
1kmN3068E4933,3689,PL,A,2011,PL,0,,,,5,
1kmN3069E4933,2,PL,A,2011,PL,0,,,,5,
1kmN3070E4933,62,PL,A,2011,PL,0,,,,,
1kmN3073E4933,95,PL,A,2011,PL,0,,,,,
1kmN3074E4933,443,PL,A,2011,PL,0,,,,,
1kmN3075E4933,8,PL,A,2011,PL,0,,,,,5
1kmN3076E4933,5,PL,A,2011,PL,0,,,,,0
1kmN3077E4933,219,PL,A,2011,PL,0,,,,,
1kmN3078E4933,170,PL,A,2011,PL,0,,,,,
1kmN3079E4933,4,PL,A,2011,PL,0,,,,,
1kmN3081E4933,294,PL,A,2011,PL,0,,,,,
1kmN3031E4934,602,PL,A,2011,PL,0,,,,,
1kmN3032E4934,671,PL,A,2011,PL,0,,,,,
1kmN3033E4934,1118,PL,A,2011,PL,0,,,,,
1kmN3034E4934,22,PL,A,2011,PL,0,,,,,
1kmN3038E4934,707,PL,A,2011,PL,0,,,,,
1kmN3039E4934,1024,PL,A,2011,PL,0,,,,,
1kmN3040E4934,658,PL,A,2011,PL,0,,,,,5
1kmN3041E4934,508,PL,A,2011,PL,0,,,,0,5
1kmN3042E4934,37,PL,A,2011,PL,0,,,,,
1kmN3043E4934,30,PL,A,2011,PL,0,,,,,
1kmN3044E4934,247,PL,A,2011,PL,0,,,,,
1kmN3045E4934,95,PL,A,2011,PL,0,,,,,
1kmN3046E4934,67,PL,A,2011,PL,0,,,0,5,
1kmN3047E4934,221,PL,A,2011,PL,0,,,,5,
1kmN3048E4934,149,PL,A,2011,PL,0,,,,,
1kmN3049E4934,103,PL,A,2011,PL,0,,,,,
1kmN3050E4934,423,PL,A,2011,PL,0,,,,,
1kmN3051E4934,193,PL,A,2011,PL,0,,,,,
1kmN3054E4934,4,PL,A,2011,PL,0,,,,,
